,Sr No,Image File,Caption,Length,Caption_0,Caption_1
6606,10478,img/insta10478,over the years i took sooooo many selfies with my friends   might kill me for including this one in my book but i love capturing the memories   ,26,over the years one took sooooo many selfies alongside my friends   might kill me for including this one in my volume simply i dearest capturing the memories,over the years one took sooooo many selfies with my friends   powerfulness kill me for including this one inwards my majority just one beloved capturing the memories
3834,6392,img/insta6392,day out w ,3,daytime out w,day out w
7802,12079,img/insta12079,just one bite   ,3,precisely ane seize with teeth,exactly i seize with teeth
5902,9482,img/insta9482,happy 12 year old ,3,happy 12 year former,happy 12 year old
6189,9881,img/insta9881,christmas card 2015   all you need is love ,7,christmas menu 2015   all y'all need is dear,christmas card 2015   all you lot demand is honey
11438,18879,img/insta18879,missing this sunshine back at home   ,6,missing this sunshine back at home,missing this sunshine back at house
10522,17414,img/insta17414,full rain show tonight in sydney   we had the absolute time of our lives with you   it poured consistently for the first 90   of the show and we all got to jump around together in a storm   what a dream   😁   love you guys     📸     ,38,full rain testify tonight in sydney   nosotros had the absolute fourth dimension of our lives alongside y'all   it poured consistently for the maiden 90   of the testify and we all got to saltation more or less together inward a storm   what a dream   😁   honey you guys     📸,total rainfall testify tonight in sydney   nosotros had the absolute time of our lives with you   it poured consistently for the inaugural xc   of the show and we all got to leap about together in a storm   what a dream   😁   love you guys     📸
10853,17908,img/insta17908,peep the adidas tho ,4,peep the adidas tho,peep the adidas tho
3785,6321,img/insta6321,best night with my favorite people ,6,best night with my favorite people,best dark with my favorite people
9841,16305,img/insta16305,i found a new hobby ,4,1 found a new hobby,1 institute a new hobby
8886,13980,img/insta13980,let  s hug each other more ,6,let  second hug each other to a greater extent,let  second hug each other more
7324,11432,img/insta11432,senior high school days   ,4,senior high schoolhouse days,senior high school days
9389,15376,img/insta15376,family time ,2,home fourth dimension,household fourth dimension
357,546,img/insta546,its here       you can finally get ft   on http      smarturl  it  goodforyousg ,10,its here       y'all can last receive ft   on http      smarturl  it  goodforyousg,its hither       you john finally get ft   on http      smarturl  it  goodforyousg
2856,4848,img/insta4848,n e v e r f o r g e t ,11,n e 5 e r f o r g e t,n e five e r f o r g e t
8645,13243,img/insta13243,i think i wanna sell my home in beverly hills who wants it   ,13,1 recall 1 wanna sell my home in beverly hills who wants it,1 retrieve i wanna sell my home inwards beverly hills who wants it
11221,18550,img/insta18550,smelly  s girls party     🎄    🎅   ,6,smelly  sec girls political party     🎄    🎅,smelly  second girls political party     🎄    🎅
8008,12331,img/insta12331,kisses gonna miss you          ,4,kisses gonna fille yous,kisses gonna miss you lot
11440,18883,img/insta18883,when all captions fail      emoji   😎    💥    💁    💯    👌   ,10,when all captions neglect      emoji   😎    💥    💁    💯    👌,when all captions neglect      emoji   😎    💥    💁    💯    👌
3295,5578,img/insta5578,mirrors on the floor ,4,mirrors on the story,mirrors on the storey
1643,2373,img/insta2373,sun essential  sunscreen oil launches july 22nd ,6,sun essential  sunscreen oil launches july 22nd,sun essential  sunscreen oil launches july 22nd
7414,11578,img/insta11578,a few jay leno appearances ,4,a few jay leno appearances,a few jay leno appearances
10186,16935,img/insta16935,my lil bro is a true bieber haha ,7,my lil bro is a true bieber haha,my lil bro is a true bieber haha
9375,15352,img/insta15352,love this guy ,3,beloved this guy,love this guy
1402,2063,img/insta2063,i am sidewayz ,2,one am sidewayz,ane am sidewayz
6022,9657,img/insta9657,check kanye  s twitter for al of the famous viewings ,9,check kanye  s twitter for al of the famous viewings,tally kanye  s twitter for al of the famous viewings
10440,17291,img/insta17291,hug your cat today   or dont   if your cat hates hugs   but anyway   happy from me   olivia   meredith   and benjamin     😸    😸    😸    👱    🏻   ,23,hug your true cat today   or dont   if your true cat hates hugs   simply anyway   happy from me   olivia   meredith   and benjamin     😸    😸    😸    👱    🏻,hug your cat today   or dont   if your cat hates hugs   but anyway   happy from me   olivia   meredith   and benjamin     😸    😸    😸    👱    🏻
10997,18166,img/insta18166,shirt by history by ,4,shirt past history yesteryear,shirt past history yesteryear
3643,6119,img/insta6119,over the city of angels with ,5,over the city of angels amongst,over the metropolis of angels with
2688,4529,img/insta4529,with    shot by styled by ,5,alongside    shot past styled past times,with    shot by styled past times
8464,12856,img/insta12856,game of doubles   ,2,game of doubles,game of doubles
8822,13613,img/insta13613,purpose tour ,2,function tour,purpose tour
6903,10834,img/insta10834,yesterday      trying to pick out an outfit struggle ,7,yesterday      trying to choice out an outfit fight,yesterday      trying to choice out an outfit fight
5464,8876,img/insta8876,jazz hands   👐    🏼   ,3,jazz hands   👐    🏼,jazz hands   👐    🏼
5924,9515,img/insta9515,happy valentine  s day ,4,happy valentine  s daytime,happy valentine  s day
11263,18615,img/insta18615,free the nipple ,3,free the nipple,unloose the nipple
7224,11294,img/insta11294,bye hamps         your cell phone reception sucks         have to go to the city real quick to instagram       ,12,farewell hamps         your cell telephone reception sucks         receive to go to the metropolis very quick to instagram,bye hamps         your Galvanic cell phone reception sucks         receive to travel to the metropolis real quick to instagram
8640,13236,img/insta13236,follow my fam and ,3,follow my fam together with,follow my fam and
6884,10814,img/insta10814,this givenchy look could possibly be my favorite look of 2014 ,8,this givenchy look could possibly be my favorite seem of 2014,this givenchy look could possibly exist my favorite seem of 2014
10632,17542,img/insta17542,inescapable im not even gonna try   and if i get burned   at least we were electrified   ,15,inescapable im non even gonna try   as well as if one get burned   at to the lowest degree we were electrified,inescapable im non even out gonna assay   and if one get burned   at least we were electrified
11064,18264,img/insta18264,cake baby ,2,cake infant,cake infant
7523,11729,img/insta11729,today is the day       kardashian kollection is available at lipsy   lipsy  co  uk ,10,today is the day       kardashian kollection is available at lipsy   lipsy  co  uk,today is the day       kardashian kollection is available at lipsy   lipsy  co  uk
3833,6389,img/insta6389,amazing times with my beautiful friends ,6,amazing times with my beautiful friends,amazing times with my beautiful friends
12369,20176,img/insta20176,just whipped it in scott  s chrome audi r8 ,9,just whipped it in scott  second chrome audi r8,just whipped it inward scott  second chrome audi r8
2201,3372,img/insta3372,throwback selfie   💕   ,2,throwback selfie   💕,throwback selfie   💕
5916,9502,img/insta9502,2009   maybe 2008 i can  t remember ,5,2009   possibly 2008 1 toilet  t remember,2009   perchance 2008 ane john  t remember
3547,5964,img/insta5964,miss this bad boy ,4,lady friend this bad son,fille this bad boy
8431,12822,img/insta12822,look who i saw at the gym   get fit or die trying   ,12,look who one saw at the gym   get friction match or die trying,appear who one saw at the gym   get fit or die trying
8327,12707,img/insta12707,what would we do without the glam squad       ,8,what would nosotros practise without the glam squad,what would nosotros do without the glam team
9830,16291,img/insta16291,  im crazy   yeah that  s just what this game made me   i may need to replace these dumb faces and maybe i need to refrain from the people who won  t let me remain me but i  m gonna still remain me      me ,40,im crazy   yeah that  sec just what this game made me   one may need to replace these dumb faces as well as maybe i need to refrain from the people who won  t allow me rest me only one  one thousand gonna soundless rest me      me,im crazy   yeah that  s just what this game made me   one may need to supplant these dumb faces and maybe one need to refrain from the people who won  t let me rest me but one  k gonna soundless remain me      me
